id,price,dist_navy_pier_miles,is_landmark_proximate,transit_north_premium,is_premium_transit_hub,shoreline_gravity,dist_to_nearest_beach_miles,crime_density_total,nb_homicides_half_mile
43899284,199.0,3.3245,0,0.174,0.0,0.6252,1.4499,253.4784,0
43986433,444.0,8.5409,0,0.0952,0.0,0.2583,6.6665,90.0343,0
44045740,256.0,3.2446,0,0.1767,0.0,0.6401,1.3701,253.4784,0
44051925,,7.0317,0,0.1125,0.9032,0.7917,5.1828,329.1328,0
44058297,81.0,11.1095,0,0.018,0.0,0.3329,4.1522,162.1562,0
44063437,201.0,5.3342,0,0.125,0.7919,0.316,3.5321,159.7822,0
44066069,80.0,5.1145,0,0.1006,0.6152,0.1877,4.4606,397.3531,1
44085884,113.0,1.1217,1,0.3116,0.6612,0.831,0.5519,842.8006,0
44124151,149.0,5.935,0,0.1123,0.0,0.2356,4.266,226.8979,0
44135080,390.0,6.8422,0,0.1098,0.8611,0.3347,4.9615,160.9753,0
44163692,144.0,9.2109,0,0.0709,0.7238,0.1168,7.9996,217.7129,0
44167294,145.0,1.6587,1,0.2554,0.6789,0.6724,0.5607,842.8006,0
44189377,454.0,5.7655,0,0.1189,0.0,0.2975,3.9556,159.7822,0
44203673,36.0,8.9992,0,0.0304,0.3036,0.6018,1.9586,611.3177,1
44206651,279.0,5.7838,0,0.1188,0.0,0.2982,3.9715,159.7822,0
44213093,184.0,3.3001,0,0.1744,0.0,0.6071,1.4337,253.4784,0
44213095,247.0,3.2975,0,0.1746,0.0,0.6112,1.4296,253.4784,0
44213097,250.0,3.3419,0,0.1738,0.0,0.6496,1.4602,253.4784,0
44213162,253.0,3.2804,0,0.1751,0.0,0.6145,1.4125,253.4784,0
44234449,217.0,1.9555,1,0.198,0.5851,0.6038,2.4831,1063.742,0
44234840,322.0,2.0483,1,0.1907,0.5813,0.5885,2.5814,276.7138,0
44252444,564.0,2.0766,0,0.226,0.6954,0.6172,0.804,842.8006,0
44259231,32.0,8.9525,0,0.0308,0.3063,0.6541,1.909,611.3177,0
44259635,1022.0,3.694,0,0.1488,0.6987,0.3013,2.475,314.0505,1
44322872,127.0,6.9798,0,0.1013,0.8082,0.209,5.2709,165.1946,0
44402955,84.0,5.5123,0,0.1097,0.0,0.2014,4.2361,258.2845,1
44433063,322.0,3.5447,0,0.1658,0.7535,0.5277,1.6989,253.4784,0
44446862,79.0,7.0769,0,0.1019,0.0,0.2205,5.3188,165.1946,0
44451347,276.0,3.3936,1,0.1224,0.538,0.3687,3.7998,289.1653,0
44472684,170.0,1.603,1,0.2344,0.6102,0.5933,1.8644,1063.742,2
44472765,174.0,1.603,1,0.2344,0.6102,0.5933,1.8644,1063.742,2
44472783,173.0,1.603,1,0.2344,0.6102,0.5933,1.8644,1063.742,2
44472881,148.0,2.6438,0,0.1909,0.6957,0.4432,1.4041,842.8006,1
44472905,167.0,2.6438,0,0.1909,0.6957,0.4432,1.4041,842.8006,1
44490049,59.0,3.4229,0,0.1251,0.5532,0.3187,3.605,188.3615,0
44535810,102.0,6.0558,0,0.1077,0.7602,0.209,4.5066,226.8979,0
44557909,260.0,4.7977,0,0.1384,0.8024,0.4976,2.9105,365.3628,0
44566657,155.0,2.6438,0,0.1909,0.6957,0.4432,1.4041,842.8006,1
44675774,,8.6074,0,0.0964,0.0,0.3086,6.7182,180.9846,0
44697481,235.0,1.603,1,0.2344,0.6102,0.5933,1.8644,1063.742,2
44839791,40.0,6.6023,0,0.0716,0.5442,0.1486,6.2089,421.1932,3
44952202,65.0,10.1391,0,0.0665,0.7413,0.1078,8.8767,137.4903,0
45000378,40.0,9.5848,0,0.0267,0.2825,0.6231,2.5419,611.3177,0
45009173,96.0,5.7544,0,0.1026,0.0,0.1827,4.653,354.858,1
45099241,170.0,5.752,0,0.1055,0.0,0.1909,4.5024,258.2845,1
45102210,1000.0,5.4093,0,0.1165,0.7469,0.2306,3.8869,258.2845,0
45153834,119.0,3.0337,1,0.166,0.6694,0.3313,2.0955,314.0505,0
45172935,,1.1334,1,0.296,0.6316,0.7448,1.2922,1063.742,4
45177129,876.0,6.7921,0,0.1052,0.0,0.2343,5.0217,165.1946,0
45214721,151.0,4.3847,0,0.0929,0.0,0.3044,4.6652,152.0856,0
45241534,158.0,6.3599,0,0.096,0.0,0.1687,5.1743,354.858,0
45259783,38.0,6.705,0,0.1037,0.7991,0.2137,5.0115,165.1946,0
